PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^conc^FLOAT^uM^^^,2^giprct^FLOAT^^^^,3^nbrtest^INT^^^^,4^range^FLOAT^^^^
66954,11122,Inactive,313,,,50,55.4,2,11.8
66956,13681,Inactive,294,,,50,36.75,2,0.3
66957,8486,Inactive,304,,,50,46.1,2,1.8
66958,8341,Inactive,258,,,50,-0.55,2,12.1
66959,72753,Active,355,,,50,97.85,2,1.5
66960,21448,Active,345,,,5,87,2,1
66962,5323784,Inactive,298,,,50,40.3,2,2.8
66964,2374,Inactive,269,,,50,11.15,2,12.5
66965,4021,Inactive,269,,,50,11,2,20.8
66966,94711,Inactive,284,,,50,26.6,2,13
66968,69504,Inactive,296,,,50,38.4,2,0.4
66969,67184,Inactive,293,,,50,35.45,2,5.5
66973,5354049,Inactive,289,,,50,31.2,2,22.4
66974,5354050,Inactive,240,,,50,-18.85,2,8.9
66975,5354051,Inactive,253,,,50,-5.4,2,3.8
66976,219127,Inactive,245,,,50,-13.5,2,9.6
66978,219129,Inactive,248,,,50,-10.95,2,7.3
66979,21494,Inactive,244,,,50,-14.7,2,34.4
66980,5354052,Inactive,230,,,50,-28.85,2,25.1
66981,219131,Inactive,217,,,50,-41.1,2,37.2
66982,69031,Inactive,225,,,50,-33.3,2,13.6
66983,5369356,Inactive,250,,,50,-8.4,2,0.2
66984,219133,Inactive,225,,,50,-33.7,2,5
66985,219134,Inactive,255,,,50,-3.3,2,44.4
66988,94178,Inactive,259,,,50,1.5,2,24.4
66989,219137,Inactive,243,,,50,-15,2,36.8
66990,219138,Inactive,238,,,50,-20.45,2,25.9
66991,138470,Inactive,260,,,50,2.45,2,0.3
66992,79304,Inactive,270,,,50,12.4,2,8.4
66993,5371961,Inactive,241,,,50,-17.5,2,12.2
66995,219140,Inactive,284,,,50,26.3,2,50.4
66996,219141,Inactive,223,,,50,-35.8,2,60
66997,18744,Inactive,260,,,50,2.85,2,11.9
67000,219144,Active,338,,,5,80,2,2
67002,219146,Active,348,,,5,90,2,11
67003,12116,Inactive,245,,,50,-13.45,2,8.7
67004,219147,Inactive,298,,,50,40.4,2,10.6
67007,219150,Inactive,246,,,50,-12.75,2,24.1
67008,94713,Inactive,253,,,50,-5.05,2,18.1
67010,219151,Inactive,253,,,50,-5,2,17.8
67014,69282,Inactive,244,,,50,-14.7,2,2.2
67017,1549166,Inactive,266,,,50,8.45,2,0.3
67018,95296,Inactive,261,,,50,3.45,2,32.5
67020,5354055,Inactive,287,,,50,29.7,2,24.6
67021,5356407,Inactive,254,,,50,-4.3,2,4.8
67022,219159,Inactive,250,,,50,-8,2,14
67024,6861467,Active,357,,,0.5,99,2,0
67026,79305,Inactive,262,,,50,4.45,2,15.9
67028,817779,Inactive,244,,,50,-14.8,2,9.6
67030,219164,Inactive,272,,,50,14.8,2,11.6
67031,73811,Inactive,250,,,50,-8.2,2,26.2
67032,6994,Inactive,245,,,50,-13.9,2,24.8
67034,20838,Inactive,280,,,50,22.45,2,8.5
67036,79306,Inactive,255,,,50,-3.9,2,7.4
67037,66031,Inactive,273,,,50,15.25,2,11.9
67038,69191,Inactive,274,,,50,16.65,2,8.5
67039,219166,Inactive,289,,,50,31.6,2,3.6
67040,219167,Active,354,,,5,96,2,3
67041,5924935,Inactive,294,,,50,36.25,2,8.1
67042,12703,Inactive,258,,,50,0.9,2,15.2
67043,219169,Inactive,265,,,50,7.35,2,4.5
67044,219170,Inactive,288,,,50,30.75,2,18.1
67045,18693,Active,357,,,5,99,2,1
67047,219171,Inactive,270,,,50,12.15,2,17.1
67048,69862,Inactive,227,,,50,-31.2,2,53
67050,36581,Inactive,253,,,50,-5.55,2,5.9
67052,14282,Inactive,278,,,50,20.65,2,7.7
67054,9641,Inactive,286,,,50,28.05,2,22.3
67060,71015,Inactive,254,,,50,-4.65,2,17.3
67061,219178,Inactive,256,,,50,-2.85,2,14.5
67062,219179,Inactive,266,,,50,8.1,2,5.6
67067,219184,Active,352,,,50,94.65,2,0.3
67068,219185,Active,354,,,50,96.7,2,0.4
